HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
JS90-096,DDH,1990,JASON,Exploration,NAD83 / UTM zone 9N,436047.6,7004123.02,1475.85,Historical,181.1,-60,226.12
JS90-097,DDH,1990,JASON,Exploration,NAD83 / UTM zone 9N,435627.19,7003919.58,1474.24,Historical,203,-60,226.12
JS90-098,DDH,1990,JASON,Exploration,NAD83 / UTM zone 9N,435535.5,7003396.36,1305,Historical,125.6,-60,226.12
JS90-099,DDH,1990,JASON,Exploration,NAD83 / UTM zone 9N,434341.01,7004346.95,1441.07,Historical,213.4,-60,226.24
JS90-100,DDH,1990,JASON,Exploration,NAD83 / UTM zone 9N,434147.73,7004404.02,1440,Historical,145.1,-60,226.24
JS90-101,DDH,1990,JASON,Jason Exploration,NAD83 / UTM zone 9N,437049.96,7002369.7,1155,Historical,570.6,-70,231.12
JS91-102,DDH,1991,JASON,End Zone,NAD83 / UTM zone 9N,433117.55,7004836.66,1377.409,Historical,336.2,-80,31.24
JS91-103,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,433957.71,7004418.9,1390.5,Historical,88.1,-60,46.24
JS91-104,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,435151.83,7004368.16,1553.08,Historical,294.1,-60,291.12
JS91-105,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,435975.04,7001988.43,1240,Historical,102.1,-60,46.12
JS91-106,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,437577.61,7000977.04,1210,Historical,437.4,-60,241.12
JS91-107,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,437937.6,7002532.04,1170,Historical,300.3,-60,1.12
JS91-108,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,437407.61,7001872.04,1150,Historical,711,-70,251.12
JS91-109,DDH,1991,JASON,Exploration,NAD83 / UTM zone 9N,437567.61,7000762.04,1215,Historical,283.8,-60,251.12
KB23-001,DDH,2023,NIDD,Kobuk,NAD83 / UTM zone 9N,418651,7012138,1311,2023-10-24,368,-51.42,6.19
KB23-002,DDH,2023,NIDD,Kobuk,NAD83 / UTM zone 9N,418754,7011620,1225,2023-10-24,284,-65.18,4.3
MP19-001,DDH,2019,NS,Exploration,NAD83 / UTM zone 9N,429812,7005982,1228.338,2020-01-07,89,-50,207.25
MP19-002,DDH,2019,MC,Exploration,NAD83 / UTM zone 9N,417543,7017670,1664.371,2020-01-07,63.2,-49,211.03
MP20-001,DDH,2020,TOM,Tom Exploration,NAD83 / UTM zone 9N,438698,7003094,1311,Historical,632,-60,295
MPRC19-001,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,439993.58,7005941.94,1186.635,Historical,10.67,-90,1.03
MPRC19-002,RC,2019,MC,Exploration,NAD83 / UTM zone 9N,440039.75,7005878.95,1203.619,Historical,6.1,-90,1.03
MPRC19-003,RC,2019,MP,Exploration,NAD83 / UTM zone 9N,440135.83,7005914.23,1208.729,Historical,7.62,-90,1.03
MPRC19-004,RC,2019,MC,Exploration,NAD83 / UTM zone 9N,440225.8,7005936.07,1210.088,Historical,9.14,-90,1.03
MPRC19-005,RC,2019,MC,Exploration,NAD83 / UTM zone 9N,440191.45,7005972.45,1208.611,Historical,5.49,-90,1.03
MPRC19-006,RC,2019,MC,Exploration,NAD83 / UTM zone 9N,440619.43,7005590.62,1314.876,Historical,16.76,-90,1.03
MPRC19-007,RC,2019,MC,Exploration,NAD83 / UTM zone 9N,440657.94,7005631.9,1311.899,Historical,15.24,-90,1.03
MPRC19-008,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,429799,7005947,1221.098,Historical,21.34,-90,1.03
MPRC19-009,RC,2019,MAC,Exploration,NAD83 / UTM zone 9N,429751,7005947,1214.413,Historical,13.72,-90,1.03
